"Effect Name","Effect Size","Lower 95% CI","Upper 95% CI","Effective Sample Size","pMCMC"
" "," "," "," "," "," "
"sentinel_ndvi ~ drone_ndvi + diff + veg_type + sentinel_id + diff:drone_ndvi + veg_type:drone_ndvi + sentinel_id:drone_ndvi"," "," "," "," "," "
" "," "," "," "," "," "
"Effect Name","Effect Size","Lower 95% CI","Upper 95% CI","Effective Sample Size","pMCMC"
"(Intercept)"," 0.1673"," 0.1318"," 0.2005","4700","0.0002"
"drone_ndvi"," 0.8070"," 0.7523"," 0.8651","4700","0.0002"
"diff","-0.0053","-0.0225"," 0.0106","4700","0.5255"
"veg_typeKOM","-0.0784","-0.1141","-0.0448","4700","0.0002"
"sentinel_idSentinel 2B"," 0.1830"," 0.1134"," 0.2510","4432","0.0002"
"drone_ndvi:diff"," 0.0359"," 0.0078"," 0.0626","4700","0.0128"
"drone_ndvi:veg_typeKOM"," 0.1351"," 0.0792"," 0.1951","4700","0.0002"
"drone_ndvi:sentinel_idSentinel 2B","-0.1896","-0.3025","-0.0774","4397","0.0009"
" "," "," "," "," "," "
"units","0.00076","0.00069","0.00084","5196"," "
