"site","veg","year","drone_doy","phen_doy"
"PS1","HER",2016,180,180
"PS1","HER",2016,191,191
"PS1","HER",2016,205,205
"PS1","HER",2016,211,211
"PS1","HER",2016,212,212
"PS1","HER",2016,216,216
"PS1","HER",2017,175,175
"PS1","HER",2017,177,179
"PS1","HER",2017,190,190
"PS1","HER",2017,192,195
"PS1","HER",2017,207,207
"PS1","HER",2017,221,221
"PS1","KOM",2016,180,180
"PS1","KOM",2016,205,205
"PS1","KOM",2016,211,211
"PS1","KOM",2016,212,212
"PS1","KOM",2016,216,216
"PS2","HER",2016,182,183
"PS2","HER",2016,207,207
"PS2","HER",2016,212,212
"PS2","HER",2016,218,218
"PS2","HER",2017,177,176
"PS2","HER",2017,192,190
"PS2","HER",2017,198,198
"PS2","HER",2017,207,207
"PS2","HER",2017,221,221
"PS2","KOM",2016,182,183
"PS2","KOM",2016,207,207
"PS2","KOM",2016,212,212
"PS2","KOM",2016,218,218
"PS2","KOM",2017,177,176
"PS2","KOM",2017,198,198
"PS2","KOM",2017,207,207
"PS2","KOM",2017,221,221
"PS3","HER",2017,177,176
"PS3","HER",2017,187,187
"PS3","HER",2017,191,191
"PS3","HER",2017,219,219
"PS3","KOM",2017,177,176
"PS3","KOM",2017,191,191
"PS3","KOM",2017,207,207
"PS3","KOM",2017,219,219
"PS3","KOM",2017,221,221
"PS4","HER",2017,177,176
"PS4","HER",2017,187,187
"PS4","HER",2017,191,191
"PS4","HER",2017,207,207
"PS4","HER",2017,219,219
"PS4","KOM",2017,177,176
"PS4","KOM",2017,198,198
"PS4","KOM",2017,209,207
"PS4","KOM",2017,219,219
